date;udea.edu.co;chat.openai.com;tiktok.com;vm.tiktok.com;openai.com;google.com;instagram.com
2023-03-23;1;0;6;4;0;0;0
2023-03-24;5;0;5;3;0;5;0
2023-03-25;0;0;2;2;0;1;0
2023-03-26;0;0;1;1;0;3;0
2023-03-27;0;0;2;0;0;6;0
2023-03-28;0;7;5;2;1;8;0
2023-03-30;4;0;0;0;0;4;0
2023-03-31;7;13;0;0;8;9;0
2023-04-02;0;4;1;1;1;6;0
2023-04-03;0;0;7;4;0;13;0
2023-04-04;0;9;13;7;2;9;0
2023-04-05;0;0;0;0;0;4;0
2023-04-06;0;4;0;0;1;6;0
2023-04-07;0;0;3;3;0;19;0
2023-04-08;1;4;0;0;1;3;0
2023-04-10;0;0;4;2;0;6;0
2023-04-11;5;12;11;6;1;28;0
2023-04-12;0;0;3;2;0;11;0
2023-04-13;1;9;6;2;2;9;0
2023-04-14;2;13;0;0;4;8;0
2023-04-15;0;0;1;1;0;1;0
2023-04-16;0;0;1;1;0;18;0
2023-04-17;0;0;5;2;0;10;0
2023-04-18;6;1;6;3;0;17;0
2023-04-22;0;2;6;2;1;5;0
2023-04-23;0;0;3;3;0;3;0
2023-04-24;0;0;5;3;0;4;0
2023-04-25;2;2;9;6;1;1;0
2023-04-26;4;0;14;4;0;12;0
2023-04-27;3;0;1;1;0;6;0
2023-04-28;0;7;0;0;1;2;0
2023-04-30;0;8;0;0;1;2;0
2023-05-01;0;2;1;1;0;9;0
2023-05-02;1;2;1;0;1;6;0
2023-05-03;3;1;2;1;0;9;0
2023-05-05;1;0;6;1;0;6;0
2023-05-07;0;0;0;0;0;13;0
2023-05-08;0;6;0;0;1;18;0
2023-05-09;13;0;2;1;0;5;0
2023-05-10;0;0;2;2;0;2;0
2023-05-11;0;0;3;1;0;14;0
2023-05-12;0;0;2;2;0;13;0
2023-05-15;0;9;0;0;4;10;0
2023-05-16;4;2;4;1;1;14;0
2023-05-17;0;0;0;0;0;8;0
2023-05-18;0;5;0;0;2;10;0
2023-05-19;3;0;0;0;0;11;0
2023-05-21;0;0;8;3;8;8;2
2023-05-22;0;8;0;0;1;3;0
2023-05-23;4;0;3;1;3;4;19
2023-05-24;0;0;1;0;0;2;4
2023-05-25;0;0;0;0;2;7;14
2023-05-26;2;0;0;0;0;6;9
2023-05-27;0;0;0;0;0;8;12
2023-05-28;0;0;0;0;0;1;15
2023-05-29;0;0;3;1;0;8;11
2023-05-30;0;0;0;0;0;14;9
2023-05-31;1;1;0;0;0;14;22
2023-06-01;4;0;3;1;0;2;0
2023-06-02;3;0;0;0;0;2;0
2023-06-04;2;0;4;2;0;3;0
2023-06-06;1;0;1;0;0;1;0
2023-06-07;4;0;0;0;0;9;0
2023-06-08;8;0;0;0;0;1;0
2023-06-09;2;0;0;0;0;6;0
2023-06-10;0;0;5;3;0;5;1
2023-06-11;0;0;0;0;0;1;9
2023-06-12;11;0;0;0;0;2;12
2023-06-13;4;0;0;0;0;0;0
2023-06-14;8;0;0;0;0;2;0
2023-06-19;1;0;2;1;0;1;0
2023-06-21;0;1;0;0;0;3;0
2023-06-22;0;0;0;0;0;1;0
2023-06-24;0;0;0;0;0;4;5
