date;pomofocus.io;platzi.com;power.larc.nasa.gov;skribbl.io;docs.google.com;drive.google.com;replit.com;instagram.com;medium.com;mail.google.com;linkedin.com;kaggle.com;geogebra.org;github.com;google.com;udea.edu.co;twitter.com;canva.com;calendar.google.com;wolframalpha.com;youtube.com;web.whatsapp.com;colab.research.google.com;chat.openai.com;stackoverflow.com
2023-03-14;0;0;0;0;1;16;0;2;0;0;2;0;22;2;69;11;0;37;0;0;5;17;50;22;0
2023-03-15;0;0;0;0;14;2;0;0;0;0;0;0;0;0;33;29;0;37;0;0;7;41;0;19;0
2023-03-16;0;0;0;0;0;7;0;0;0;8;0;0;0;1;22;10;0;31;1;0;15;20;10;3;0
2023-03-17;0;0;1;0;0;0;0;1;0;0;1;0;0;2;2;0;0;0;0;0;11;0;0;0;0
2023-03-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2023-03-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
2023-03-26;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2023-04-06;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2023-04-10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
2023-04-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0
2023-04-15;0;0;0;0;0;0;0;0;0;5;0;0;0;0;9;0;0;6;0;0;2;0;0;0;0
2023-04-24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;1;0;0;0;0;0;0;0;0
2023-05-02;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2023-05-21;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0
2023-05-29;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
