date;bing.com;calendar.google.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;facebook.com;familia-losruedaposadamv.on.drv.tw;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rappi.com.co;roblox.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;udeaeduco-my.sharepoint.com;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-07-14;13.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;3.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;19.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;5.0;2.0;0.0;15.0;0.0;0.0;111.0
2023-07-15;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0
2023-07-16;15.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;94.0
2023-07-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0
2023-07-18;30.0;30.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;11.0;7.0;0.0;26.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.0;0.0;3.0;13.0;0.0;5.0;69.0;0.0;21.0;238.0
2023-07-19;24.0;19.0;23.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;8.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;12.0;29.0;0.0;0.0;18.0;0.0;13.0;173.0
2023-07-20;99.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;8.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;28.0;2.0;0.0;18.0;188.0
2023-07-21;57.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;10.0;0.0;0.0;0.0;2.0;0.0;31.0;137.0
2023-07-22;21.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;2.0;1.0;0.0;1.0;0.0;19.0;83.0
2023-07-23;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;33.0
2023-07-24;20.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;29.0;0.0;0.0;29.0;0.0;8.0;122.0
2023-07-25;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
2023-07-26;10.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;17.0;0.0;0.0;13.0;75.0
2023-07-27;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;36.0
2023-07-28;71.0;0.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;4.0;0.0;3.0;30.0;9.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;141.0;41.0;0.0;20.0;429.0
