date;calendar.google.com;canva.com;chat.openai.com;colab.research.google.com;disneyplus.com;docs.google.com;geogebra.org;github.com;google.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;platzi.com;play.hbomax.com;pomofocus.io;skribbl.io;starplus.com;twitter.com;udea.edu.co;web.whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-02-17;0.0;0.0;2.28;0.0;0.0;0.0;0.0;0.0;12.28;1.28;0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.08;0.0;0.47;26.72
2023-02-18;38.52;0.0;20.65;0.0;0.0;0.42;0.0;4.08;5.45;6.75;0.0;1.88;13.37;0.0;0.0;0.0;0.0;0.0;23.37;2.2;3.73;0.77;19.72;140.91000000000003
2023-02-19;0.0;0.0;4.1;0.0;0.0;0.0;6.67;0.0;8.38;5.0;0.0;0.0;2.85;0.0;1.5;7.12;0.0;0.0;0.2;0.0;1.52;5.57;28.17;71.08000000000001
2023-02-20;2.65;0.0;5.6;0.0;0.0;0.0;18.68;0.0;13.87;8.78;0.0;1.07;30.4;0.0;0.0;2.85;0.0;0.0;0.0;4.88;15.38;6.53;21.53;132.21999999999997
2023-02-21;3.87;0.0;4.93;0.0;0.0;4.15;0.0;0.0;0.2;1.98;0.0;0.0;1.37;0.0;0.0;0.0;0.0;0.0;57.9;0.0;11.92;0.0;19.65;105.97
2023-02-22;0.0;0.0;0.0;0.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.02;6.550000000000001
2023-02-23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.05;0.0;0.0;0.0;9.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.1;0.0;38.58
2023-02-24;5.33;0.0;5.07;0.0;0.0;0.47;0.0;0.0;0.82;0.0;0.0;0.85;9.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.23;0.0;0.62;33.169999999999995
2023-02-25;0.0;0.0;10.97;0.0;0.0;0.0;0.0;0.0;20.35;1.67;0.0;1.98;27.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.07;35.18;31.3;141.35000000000002
2023-02-26;4.5;0.0;27.65;0.0;0.0;25.1;0.0;0.0;13.95;9.23;0.0;0.63;3.12;0.0;0.0;0.0;0.0;0.0;0.0;1.18;6.33;12.72;23.0;127.41000000000001
2023-02-27;0.12;0.0;18.77;5.78;0.0;50.03;0.0;0.0;14.28;0.0;0.0;0.0;3.8;0.0;0.0;0.0;0.0;0.0;0.18;0.0;1.47;0.0;0.8;95.23
2023-02-28;5.22;0.0;10.32;0.0;0.0;3.58;8.73;0.65;11.65;0.12;0.0;0.0;6.98;0.0;0.0;0.0;0.0;0.0;1.42;0.0;24.53;32.92;30.87;136.99
2023-03-01;0.3;0.0;14.8;0.0;0.0;3.13;0.0;0.0;6.0;0.0;9.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.28;0.0;0.0;43.660000000000004
2023-03-02;14.55;0.0;22.52;0.0;0.0;0.0;8.4;0.0;5.27;0.9;0.0;0.75;12.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.37;3.48;0.82;73.75999999999999
2023-03-03;5.87;0.0;2.85;14.03;0.0;0.0;0.0;0.0;13.52;4.42;0.0;0.0;4.72;0.0;0.0;0.0;0.0;0.0;0.45;0.0;32.47;0.0;3.52;81.85
2023-03-04;0.05;0.0;6.68;0.0;0.0;0.0;3.57;0.0;9.23;0.0;0.0;6.02;0.92;0.0;121.23;0.0;0.0;0.0;0.0;4.47;12.97;19.0;0.0;184.14000000000001
2023-03-05;122.8;16.9;12.05;33.77;0.0;0.2;0.0;0.0;17.03;11.67;0.0;1.57;19.58;0.0;0.0;0.0;0.0;0.0;0.0;7.05;20.37;43.05;23.38;329.42
2023-03-06;0.28;0.0;10.28;16.18;0.0;31.47;0.0;0.0;6.85;1.17;0.0;0.0;0.63;0.0;0.0;0.0;0.0;0.0;0.0;1.37;15.4;0.0;12.5;96.13
2023-03-07;2.9;7.45;18.58;11.65;0.0;21.28;0.0;0.0;12.83;0.5;0.0;0.0;9.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.55;0.0;64.43;186.26999999999998
2023-03-08;0.0;2.0;5.45;0.0;0.0;4.05;0.0;0.0;3.2;2.75;2.8;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;2.85;16.85;0.0;36.65;80.1
2023-03-09;0.0;0.0;10.07;37.55;0.0;0.2;0.0;0.0;2.32;0.33;0.0;0.0;5.35;0.0;0.0;0.0;0.0;0.0;4.03;2.98;6.5;0.0;0.0;69.33
2023-03-10;1.82;54.4;6.4;0.0;0.0;8.87;0.0;0.0;7.82;1.22;0.0;0.0;12.73;0.0;0.0;0.0;0.0;0.0;0.0;1.28;52.47;0.0;12.85;159.85999999999999
2023-03-11;0.0;11.43;8.0;13.25;0.0;0.12;1.22;0.0;11.52;0.0;0.0;0.0;2.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.55;6.67;6.2;68.42999999999999
2023-03-12;0.0;12.43;1.12;0.0;0.0;0.0;0.0;0.0;7.7;3.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.73;0.0;1.05;41.4
2023-03-13;1.67;61.33;48.95;0.0;0.0;0.82;0.0;0.0;18.92;5.67;0.0;0.0;6.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.07;0.0;12.67;182.06999999999996
2023-03-14;0.0;24.87;8.42;64.58;0.0;0.17;13.07;0.05;13.15;6.43;0.0;3.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.42;9.5;0.0;16.0;161.01
2023-03-15;0.0;29.6;14.28;0.0;0.0;4.88;0.0;0.0;2.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.62;17.4;0.0;10.45;85.88000000000001
2023-03-16;2.4;16.83;1.28;13.57;0.0;0.0;0.0;0.1;2.23;0.0;0.0;0.0;1.28;0.0;0.0;0.0;0.0;0.0;0.0;2.72;3.6;0.0;5.6;49.61
2023-03-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.1;0.12;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.33;12.93
2023-03-19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03
2023-03-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32
2023-03-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
2023-04-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44999999999999996
2023-04-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13
2023-04-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.07;0.0;0.0;0.0;0.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.22
2023-04-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.95
2023-04-15;0.0;1.12;0.0;0.0;224.0;0.0;0.0;0.0;1.1;0.0;0.0;0.0;1.37;0.0;0.0;0.0;0.0;88.03;0.0;0.0;0.0;0.0;1.63;317.25
2023-04-16;0.0;0.0;0.0;0.0;3.82;0.0;0.0;0.0;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.2;0.0;0.0;0.0;0.0;0.0;62.2
2023-04-22;0.0;0.0;0.0;0.0;126.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;126.52
2023-04-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.55;0.0;0.0;0.0;3.5700000000000003
2023-05-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.67
2023-05-21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;1.72;0.0;0.0;0.0;0.0;0.0;0.0;2.33;0.0;0.0;0.0;4.15
2023-05-22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75
2023-05-23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43
2023-05-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.33;0.0;0.0;0.0;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.78
