date;device_unlocks
2023-04-24 00:00:00,000;135
2023-04-25 00:00:00,000;161
2023-04-26 00:00:00,000;127
2023-04-27 00:00:00,000;207
2023-04-28 00:00:00,000;140
2023-04-29 00:00:00,000;156
2023-04-30 00:00:00,000;142
2023-05-01 00:00:00,000;147
2023-05-02 00:00:00,000;150
2023-05-03 00:00:00,000;145
2023-05-04 00:00:00,000;164
2023-05-05 00:00:00,000;107
2023-05-06 00:00:00,000;163
2023-05-07 00:00:00,000;124
2023-05-08 00:00:00,000;143
2023-05-09 00:00:00,000;119
2023-05-10 00:00:00,000;106
2023-05-11 00:00:00,000;182
2023-05-12 00:00:00,000;123
2023-05-13 00:00:00,000;106
2023-05-14 00:00:00,000;108
2023-05-15 00:00:00,000;129
2023-05-16 00:00:00,000;118
2023-05-17 00:00:00,000;116
2023-05-18 00:00:00,000;123
2023-05-19 00:00:00,000;127
2023-05-20 00:00:00,000;162
2023-05-21 00:00:00,000;98
2023-05-22 00:00:00,000;130
2023-05-23 00:00:00,000;196
2023-05-24 00:00:00,000;135
2023-05-25 00:00:00,000;105
2023-05-26 00:00:00,000;100
2023-05-27 00:00:00,000;126
2023-05-28 00:00:00,000;101
2023-05-29 00:00:00,000;108
2023-05-30 00:00:00,000;131
2023-05-31 00:00:00,000;179
2023-06-01 00:00:00,000;122
2023-06-02 00:00:00,000;116
2023-06-03 00:00:00,000;87
2023-06-04 00:00:00,000;138
2023-06-05 00:00:00,000;147
2023-06-06 00:00:00,000;136
2023-06-07 00:00:00,000;115
2023-06-08 00:00:00,000;117
2023-06-09 00:00:00,000;178
2023-06-10 00:00:00,000;124
2023-06-11 00:00:00,000;113
2023-06-12 00:00:00,000;280
2023-06-13 00:00:00,000;137
2023-06-14 00:00:00,000;174
2023-06-15 00:00:00,000;261
2023-06-16 00:00:00,000;89
2023-06-17 00:00:00,000;79
2023-06-18 00:00:00,000;124
2023-06-19 00:00:00,000;126
2023-06-20 00:00:00,000;84
2023-06-21 00:00:00,000;133
2023-06-22 00:00:00,000;147
2023-06-23 00:00:00,000;135
2023-06-24 00:00:00,000;123
