date;google.com;instagram.com;udea.edu.co;total_usage
2023-11-19;1.45;0.22;0.82;2.4899999999999998
2023-11-20;0.62;0.53;0.0;1.15
2023-11-21;1.43;0.0;1.32;2.75
2023-11-22;0.28;0.0;5.3;5.58
2023-11-23;1.63;0.0;0.92;2.55
2023-11-24;1.43;0.0;1.1;2.5300000000000002
2023-11-26;0.35;0.22;0.73;1.2999999999999998
2023-11-27;0.15;0.38;1.33;1.86
2023-11-28;2.45;3.47;1.72;7.64
2023-11-29;0.05;0.0;0.52;0.5700000000000001
2023-11-30;1.07;0.0;0.0;1.07
2023-12-01;5.9;0.0;0.0;5.9
2023-12-02;2.52;0.0;1.67;4.1899999999999995
2023-12-03;2.08;0.0;0.03;2.11
2023-12-04;11.5;0.0;1.53;13.03
2023-12-05;0.3;0.0;0.17;0.47
2023-12-08;0.65;0.08;0.0;0.73
2023-12-09;0.52;0.47;0.0;0.99
2023-12-10;3.85;0.55;0.0;4.4
2023-12-11;0.15;0.0;0.0;0.15
2023-12-12;0.12;1.83;0.0;1.9500000000000002
2023-12-13;2.1;0.0;0.0;2.1
2023-12-14;2.35;0.07;4.53;6.95
2023-12-15;1.9;0.0;3.07;4.97
2023-12-16;1.22;0.0;0.0;1.22
2023-12-17;1.2;0.0;0.0;1.2
2023-12-18;0.92;0.37;0.0;1.29
2023-12-19;4.62;0.0;0.0;4.62
2023-12-20;0.68;0.0;0.0;0.68
2023-12-21;4.65;0.0;0.0;4.65
2023-12-22;1.02;0.0;0.0;1.02
2023-12-23;0.95;0.0;0.0;0.95
2023-12-24;0.72;0.0;0.73;1.45
2023-12-25;0.4;0.3;0.0;0.7
2023-12-26;0.15;0.9;0.0;1.05
2023-12-27;6.13;0.0;0.0;6.13
2023-12-28;2.58;0.37;0.33;3.2800000000000002
2023-12-31;1.25;0.0;0.32;1.57
2024-01-01;0.6;0.12;0.0;0.72
2024-01-03;2.3;0.0;0.0;2.3
2024-01-04;2.53;0.0;0.0;2.53
2024-01-06;0.52;0.0;0.0;0.52
2024-01-07;0.42;0.0;0.0;0.42
2024-01-08;1.0;0.0;0.0;1.0
